"Costs","Express","Hazardous","Distance","Volume","Weight"
425,0,0,628.28,4074840,167.8
124.12,0,0,640.35,1398016,37.2
145.26,0,0,911.28,556800,90
520,0,0,1697.88,4074840,167.8
98.97,0,0,603.5,701180,55
23.54,0,0,776.49,8096,1.27
72.76,0,0,531.31,444000,94.2
127.33,0,1,423.51,1459200,161.2
147.66,1,1,601.94,624000,183.6
59.57,1,0,624.77,8096,0.4
127.33,0,1,860.31,1466250,194.2
16.41,0,0,672.34,8096,0.4
13.53,0,0,643.66,13500,5.8
1430,0,1,2198.79,2855452,295.8
13.53,0,0,333.66,64042,5.4
191.53,0,0,531.31,2752344,77.6
124.12,0,0,356.95,1395030,296.6
228.98,0,1,467.08,2819372,275.6
585,1,1,860.31,3215360,364.8
15.24,0,0,1535.22,864,0.33
89.88,0,0,1063.38,1376172,40.2
124.12,0,1,603.5,1488000,342.8
720,0,1,1093.15,6402040,444.6
11.89,0,1,836.88,119691,4.5
10.25,0,0,644.77,6292,0.2
11.89,0,0,584.25,248000,4.2
420,1,0,557.01,1376172,45
112.35,0,0,983.58,144000,3
110.21,0,1,685.79,643200,123
390,0,0,630.16,4074840,167.8
410,0,1,603.5,3536000,600
15.24,0,0,1059.6,29040,0.24
10.82,0,0,584.25,6006,0.6
445,1,1,584.25,3234000,246
240,1,0,603.5,616100,35
149.8,1,1,423.51,624000,200
127.33,0,0,860.31,547200,96.4
10.25,0,0,584.25,8096,0.47
13.53,0,0,685.79,68688,9.6
14.31,0,0,643.66,89100,14.6
10.25,0,0,776.49,16192,2.4
5.16,0,0,163.54,6292,1.2
11.82,0,0,448.72,6292,1.6
15.52,0,0,584.25,67650,20
11.89,0,0,1063.68,38912,4
485,1,1,584.25,1443200,246
13.53,0,0,584.25,94710,9
112.35,0,0,416.75,1376172,40.2
89.88,0,0,603.5,791280,49.4
120.38,1,0,417.73,360000,15
326.35,0,0,361.14,4830550,125
23.54,1,0,628.28,7128,0.34
95,1,0,1592.89,864,0.6
575,0,1,795.89,1623600,236
107,0,0,333.67,326400,120
250,0,0,1059.6,3040344,109.6
11.89,0,0,478.88,8976,4.2
10.25,0,0,640.35,6292,1.4
13.53,0,0,336.66,380000,8.3
202.23,0,0,630.34,979200,53.9
26.75,1,0,423.51,12768,3.7
124.12,0,1,673.23,1443200,237.6
480,1,0,672.34,1441472,46.4
23.54,1,0,913.81,5328,0.88
89.88,0,0,416.75,1376172,40.2
10.25,0,0,353.81,6292,1
1340,1,1,1697.88,3134976,276.4
23.54,1,0,601.95,8096,0.61
23.54,1,0,860.31,8096,0.3
247.17,0,0,630.34,1952172,139.4
160.5,0,0,679.16,834112,34.8
202.23,0,0,1697.88,307968,18.2
340,1,1,423.51,1104000,220
10.25,0,0,584.25,60434,2.6
525,1,1,630.29,3215360,414.6
11.89,0,0,584.25,63960,4.8
